Jan 08 16:47:51 lvl2: 	EmulationStation - v2.9.6rp, built Feb 18 2021 - 06:14:54
Jan 08 16:47:51 lvl2: 	Parsing XML file "/opt/retropie/supplementary/emulationstation/resources/mamenames.xml"...
Jan 08 16:47:51 lvl2: 	Parsing XML file "/opt/retropie/supplementary/emulationstation/resources/mamebioses.xml"...
Jan 08 16:47:51 lvl2: 	Parsing XML file "/opt/retropie/supplementary/emulationstation/resources/mamedevices.xml"...
Jan 08 16:47:51 lvl2: 	Creating window...
Jan 08 16:47:51 lvl2: 	Created window successfully.
Jan 08 16:47:51 lvl2: 	GL vendor:   Broadcom
Jan 08 16:47:51 lvl2: 	GL renderer: VideoCore IV HW
Jan 08 16:47:51 lvl2: 	GL version:  OpenGL ES-CM 1.1
Jan 08 16:47:51 lvl2: 	Checking available OpenGL extensions...
Jan 08 16:47:51 lvl2: 	 ARB_texture_non_power_of_two: MISSING
Jan 08 16:47:52 lvl2: 	Added known joystick circuitsword-gp (instance ID: 0, device index: 0)
Jan 08 16:47:52 lvl2: 	Loading system config file /home/pi/.emulationstation/es_systems.cfg...
Jan 08 16:47:52 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/gb" is not a directory!
Jan 08 16:47:52 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/gb/gamelist.xml"...
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Kirby's Star Stacker (USA, Europe) (SGB Enhanced).gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Intertale.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Kirby's Dream Land.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Kirby's Dream Land 2.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Kirby's Pinball Land.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Kirby's Star Stacker.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Legend of Zelda - Link's Awakening.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Pokemon - Blue Version.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Pokemon - Green Version.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Tamagotchi.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Pokemon - Red Version.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Pokémon_Gold_-_Spaceworld_1997_Demo_(NonDebug).7z" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Pokemon - Spaceworld Gold Version.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Tetris - Minuet Version.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Metroid II - Return of Samus (World).gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Metroid II DX - Return of Samus (World).gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Kirby's Block Ball.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Tetris Rosy Retrospection.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Trip World.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Pokemon - Spaceworld Silver Version.gb" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	System "gb" has no games! Ignoring it.
Jan 08 16:47:52 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/gba" is not a directory!
Jan 08 16:47:52 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/gba/gamelist.xml"...
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Avatar - The Last Airbender (USA).gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Breath of Fire (USA).gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Bubble Bobble - Old & New (USA).gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Crash Nitro Kart (USA).gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Nicktoons Unite! (USA).gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Oddworld - Munch's Oddysee (USA, Europe).gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Advance Wars (USA) (Rev 1).gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Banjo-Kazooie - Grunty's Revenge (USA, Europe).gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Codename - Kids Next Door - Operation S.O.D.A. (USA).gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Gauntlet - Dark Legacy (USA).gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Sims 2, The.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Wild Thornberrys Movie, The.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Lara Croft Tomb Raider - Legend.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Lara Croft Tomb Raider - The Prophecy.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Legend of Spyro - The Eternal Night.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Kirby - Nightmare in Dreamland.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/GBACRAFT (3DSage) [v1-0].gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Advance Wars.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Avatar - The Last Airbender.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Avatar - The Last Airbender - The Burning Earth.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Banjo-Kazooie - Grunty's Revenge.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Banjo-Pilot.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Bomberman Max 2 - Blue Advance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Bomberman Max 2 - Red Advance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Bomberman Tournament.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Bubble Bobble - Old & New.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Camp Lazlo - Leaky Lake Games.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Cartoon Network Block Party.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Cartoon Network Speedway.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Castlevania - Aria of Sorrow.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Castlevania - Circle of the Moon.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Castlevania - Harmony of Dissonance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Codename - Kids Next Door - Operation S.O.D.A..gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Crash Bandicoot - The Huge Adventure.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Crash Bandicoot Purple - Ripto's Rampage.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Crash Nitro Kart.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Crash of the Titans.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Cubix - Robots for Everyone - Clash 'N Bash.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Danny Phantom - The Ultimate Enemy.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Danny Phantom - Urban Jungle.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Donkey Kong - King of Swing.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Donkey Kong Country.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Donkey Kong Country 2.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Donkey Kong Country 3.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Earthworm Jim.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Earthworm Jim 2.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Ed, Edd n Eddy - Jawbreakers!.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Ed, Edd n Eddy - The Mis-Edventures.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Final Fantasy I & II - Dawn of Souls.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Final Fantasy IV Advance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Final Fantasy Tactics Advance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Final Fantasy V Advance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Final Fantasy VI Advance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Fire Emblem.gba" does not exist! Ignoring.
